Name,Category,Email,Phone,Address,District,Website
Bangladesh University of Textiles,Universities,textailbd@gmail.com,N/A,"92 Shaheed Tajuddin Ahmed Ave, Dhaka 1208, Dhaka Politechnic, Dhaka, 1208",Dhaka,https://www.butex.edu.bd/homepage/
Rupayan Jewellers,Jewelry Stores,info.rupayanjewellers2014@gmail.com,01401071298,"Level-03, Shop:411-412, Uttara Square Shopping Mall, Dhaka 1230, Uttara Purba, Dhaka, 1230",Dhaka,N/A
Akhtar Furnishers,Furniture Shops,N/A,01847192022,"28/29, Ring Rd, Dhaka, Mohammadpur, Dhaka, 1207",Dhaka,N/A
Jamia Arabia Imdadul Uloom Faridabad,Madrasas,N/A,01940173181,"51 Haricharan Roy Rd,, Gandaria, Dhaka, 1204",Dhaka,N/A
BAF Shaheen College Kurmitola,Colleges,info@bafsk.edu.bd,01647849974,"Dhaka Cantonment, Dhaka, Dhaka CantonmentTSO, Dhaka, 1206",Dhaka,https://bafsk.edu.bd/
Momen Real Estates Limited,Real Estate Agencies,info@momen.com.bd,N/A,"House -157, Road-12, Block -E, Banani, Dhaka, Bangladesh, 1213, Banani, Dhaka, 1213",Dhaka,https://web.facebook.com/mrelbd/?_rdc=1&_rdr#
Rejuvenate,Beauty & Salons,rejuvenate.gulshan@gmail.com,01406699612,"Basement 1 (same floor, as Unimart, Gulshan Centre Point, Dhaka, Gulshan Model Town, Dhaka, 1212",Dhaka,https://www.rejuvenatebd.com/
ERA,Plumbing Services,erasanitary2003@gmail.com,01711954094,"5, 1 Hajipara, Malibag, Dhaka 1219, KhilgaonTSO, Dhaka, 1219",Dhaka,N/A
Bodybuilding BD,Gyms & Fitness,N/A,01972358457,"21/A, Mahbub Plaza, Topkhana Road,Dhaka-1000, Bangladesh, Motijheel, Dhaka, 1000",Dhaka,https://bodybuilding.com.bd/
Timodesk,IT & Computer Services,support@timodesk.com,01811797272,"Uttara Sector#11 House#60 Road#20, Dhaka 1230, Uttara Paschim, Dhaka, 1230",Dhaka,https://timodesk.com/
PetSpace-Bangladesh,Pet Shops,petspacebangladeah@gmail.com,01978336401,"House number-13, Road number-03, Block-D, Mirpur-6, near chalontika mor., Dhaka city 1216, Mirpur, Dhaka, 1216",Dhaka,N/A
Asian Thai Spa,Spa & Massage Centers,asianthaispa@gmail.com,01897601546,"RATAINPUR CASILE, 91/B Rd 24, Dhaka 1212, Gulshan Model Town, Dhaka, 1212",Dhaka,https://asianthaispa.com/
Emergency Electric and plumbing service -Uttara,Electrical Services,N/A,01609993537,"House- 67,Road -12/A Sector -10,Uttara -1230, Uttara Purba, Dhaka, 1230",Dhaka,N/A
Evercare Hospital Dhaka,Hospitals & Clinics,N/A,N/A,"Evercare Hospital Dhaka, Plot # 81,  Plot # 81,,  Plot # 81,,  Plot # 81,  Plot # 81,, Bashundhara",Dhaka,N/A
Sumash Tech,Mobile Phone Shops,N/A,01625033964,"Basement - 2, Shop 111-113, Bashundhara City Shopping Complex, Panthapath, Dhaka, Tejgaon, Dhaka, 1215",Dhaka,N/A
JF Fixtures & Design,Courier & Delivery,N/A,N/A,N/A,N/A,N/A
Auto king,Auto Repair,autokinguttara@gmail.com,01783807917,"House-22 Road-35, উত্তরা 1230, Uttara Purba, Dhaka, 1230",Dhaka,N/A
City Car Imports,Car Showrooms,info@citycarimports.com,01896092905,"Mirpur, West Shewrapara, Dhaka, Bangladesh, 1216, Mirpur, Dhaka, 1216",Dhaka,N/A
Cafe Rain Street,Restaurants & Cafes,caferainstreet@gmail.com,01778088084,"House-32(Ground floor), Road-05, Block- G, Mirpur-1, Dhaka, Bangladesh, 1216, Mirpur, Dhaka, 1216",Dhaka,N/A
Unique Printing BD,Printing Services,info@uniqueprintingbd.com,01912334456,"uttara dhaka 1230, Uttara Purba, Dhaka, 1230",Dhaka,"""https://www.facebook.com/uniqueprintingbd"""
St. Francis Xavier's Girls' School,Schools,info@sfxgsc.edu.bd,N/A,"85 Municipal Rd, Dhaka 1100, Kotwali, Dhaka, 1100",Dhaka,N/A
Compliance BD Law Firm,Law Firms,info@compliancebd.com,01745990133,"13th Floor, Razzak Plaza, Maghbazar, Ramna,, Dhaka, Bangladesh, 1217, Shantinagr TSO, Dhaka, 1217",Dhaka,https://compliancebd.com/
Aram Hybrid Solution,Car Service Centers,info.aramhybrid@gmail.com,01310371637,"417 Evercare Hospital Rd, , Gulshan Model Town, Dhaka, 1212",Dhaka,N/A
Healthy Tank BD,Cleaning Services,info@healthytankbd.com,01847258844,"House # 38, Road # 07, Block # B Banasree, Dhaka, Bangladesh., KhilgaonTSO, Dhaka, 1219",Dhaka,https://healthytankbd.com/
Wholesale Home Appliance,Electronics Shops,support@electrobdshop.com,01406422123,"12/1, Basila Bus Stand, Main Road, Basila City Developers, Muhammadpur, Dhaka, Bangladesh, Mohammadpur, Dhaka, 1207",Dhaka,https://electrobdshop.com/
Versatile Travels & Tours Ltd,Travel Agencies,info@versatiletravels.com,01713194841,"Ground Floor, PCH8+MP6 Khan Mansion, 107, , Motijheel, Dhaka, 1000",Dhaka,N/A
Roni AC Service,AC Repair & Services,roniacservice@gmail.com,01602981001,"RC6F+2JM Dhaka, Hazi Samiruddin,Munshi Bari Jama Masjid KA-27/G Munshi Villa. RC6F+2JM Lane, Road), Jagannathpur, Vatara, Dhaka Bashundhara Main Gate Shahid Abdul Aziz Road, Bashundhara Main Gate,, KhilkhetTSO, Dhaka, 1229",Dhaka,N/A
Thanks Cleaning & Pest Control Service,Pest Control Services,thankscleaningbd@gmail.com,01614159402,"Gulshan Badda Link Rd, Dhaka 1212, Gulshan Model Town, Dhaka, 1212",Dhaka,https://pestcontrolservicebd.com/
AmarLab Diagnostic Center,Diagnostic Centers,info@amarlab.com,01327416064,"F15, Kazi Bari Mor, Dhaka 1216, Mirpur, Dhaka, 1216",Dhaka,https://amarlab.com/
Exord Online,Internet Providers,info@exordonline.com,01519199999,"Banasree Office: House: 18, Road: 05, Block: C, Banasree, Rampura, 1219, Rampura, Dhaka, 1219",Dhaka,https://exord.bd/
Radius,Coaching Centers,info.radiusacademy@gmail.com,01921220618,"Plot-7 Rd - 17, Dhaka 1230, Uttara Purba, Dhaka, 1230",Dhaka,N/A
NDE-National Development Engineers Ltd.,Construction Companies,info@ndebd.com,N/A,"NDE House, House#22, Road#4, Block#C, Banani, Bangladesh., Dhaka, Bangladesh, Banani TSO, Dhaka, 1213",Dhaka,https://nde.com.bd/
Banani Fabrics,Tailoring & Boutiques,bananifabric@gmail.com,01917095929,"Shop# 22,27,1st (Floor) Banani D.N.C.C Banani super market Banani, Banani TSO, Dhaka, 1213",Dhaka,N/A
Sajai Event Management and Program Planner,Event Management,sajaieventmgmt@gmail.com,01915135965,"Block-A, House 50, Rd 7, Mirpur, Dhaka, 1216",Dhaka,N/A
Bangladesh University of Engineering and Technology,Universities,info@buet.gmail.com,N/A,"P9FV+728, Khaja Dewan 1st Ln, Dhaka, New Market TSO, Dhaka, 1205",Dhaka,https://www.buet.ac.bd/web/#/
Arju's,Jewelry Stores,arjusjewelryaccessories@gmail.com,01623991386,"10 Rd No. 1A, Dhaka 1230, Uttara Purba, Dhaka, 1230",Dhaka,N/A
Partex Furniture,Furniture Shops,furniture@psgbd.com,01911330975,"24, 7 Ring Rd, Dhaka 1207, Mohammadpur, Dhaka, 1207",Dhaka,N/A
Adarsha Islami Mission Mohila Kamil Madrasa,Madrasas,N/A,01732302286,"3/14 Block-G, Lalmatia Road, Mohammadpur, Dhaka, 1207",Dhaka,N/A
"Govt. Science College, Tejgaon",Colleges,gsctd1954@gmail.com,N/A,"Q94V+F6H, 34/B, West Farmgate - Tejturi Bazar Rd, Dhaka, Tejgaon TSO, Dhaka, 1215",Dhaka,https://www.gsctd.edu.bd/
Rents Corporation,Real Estate Agencies,nasrullah@rentsincorporation.com,01616191191,"Road: 24, Gulshan-02, Dhaka, Bangladesh, 1212, Gulshan Model Town, Dhaka, 1212",Dhaka,https://rents.com.bd/
Tisha's Beauty Hub TBH,Beauty & Salons,tishasbeautyhub@gmail.com,01686902284,"Banani, Road 11, House 118, 7th Floor, Block E, Sheltech Northern Star. (Cafe Sao Paulo Building, Opposite of Kavazo/City Bank), Gulshan Model Town, Dhaka, 1212",Dhaka,https://www.tishasbeautyhub.com/
M/S MOLLA Enterprise,Plumbing Services,mollaenterprise120@gmail.com,01712671915,"1084 Khilbarir Tek Rd, Dhaka 1212, Gulshan Model Town, Dhaka, 1212",Dhaka,N/A
Super Fit Gym,Gyms & Fitness,superfitgymbd@gmail.com,01770031101,"15/7, Borobag, Mirpur-2 (In front of Monipur Boys High School), Mirpur, Dhaka, 1216",Dhaka,https://superfitgym.com.bd/
SMMSun,IT & Computer Services,info@smmsun.com,N/A,"Dhaka Bangladesh 1216, Mirpur, Dhaka, 1216",Dhaka,https://smmsun.com/
pet passion bd,Pet Shops,sagarngs702@gmail.com,01792224545,"Pallabi, Dhaka, Bangladesh, 1216, Pallabi, Dhaka, 1216",Dhaka,N/A
Frozen Thai Spa,Spa & Massage Centers,info@frozenthaispa.com,01611808281,"Frozen Thai Spa - Spa in Dhaka, RM Center, 101 Gulshan Avenue, Dhaka 1212, Gulshan Model Town, Dhaka, 1212",Dhaka,https://frozenthaispa.com/
jsmrecyclingltd,Electrical Services,jsmrecyclingltd@gmail.com,01799111995,"Kolma south, Dairy Farm-1341, savar, Dhaka, Dairy Farm, Dhaka, 1341",Dhaka,https://jsmrecyclingltd.com/
AMAR Home,Hospitals & Clinics,N/A,01976131313,N/A,N/A,N/A
Car Repair BD,Auto Repair,carrepairbd66@gmail.com,01725418659,"Plot 16, 1230 Road No 34, Dhaka 1230, Uttara Purba, Dhaka, 1230",Dhaka,https://carrepairbd.com/
Zam Zam Car & Automobiles,Car Showrooms,nfo@zamzamgroupbd.net,01711775067,"Corporate Branch : 28/1, Kakrail, Dhaka. & #Baridhara Branch: 314 Nodda, Baridhara, Dhaka, Dhaka, Bangladesh, 1217, Shantinagr TSO, Dhaka, 1217",Dhaka,https://www.zamzamgroupbd.net/
The Stories Cafe,Restaurants & Cafes,thestoriescafebd@gmail.com,01329702344,"1st Floor, House 109, Street 01, Block A Mirpur 02, Dhaka 1216, Mirpur, Dhaka, 1216",Dhaka,https://thestoriescafe.com/
Modern Printing Press,Printing Services,modern@printingpress.com,01719223345,"uttara dhaka 1230, Uttara Purba, Dhaka, 1230",Dhaka,https://modernprintingpress.godaddysites.com/
William Carey International School,Schools,wcischool@yahoo.com,01989283257,"70 D, 1 Indira Rd, Dhaka 1207, Adabor, Dhaka, 1207",Dhaka,N/A
Advocatus Chambers,Law Firms,info@advocatuschambers.com,01307963321,"uttara dhaka 1230, Uttara Purba, Dhaka, 1230",Dhaka,https://advocatuschambers.com/
Naspro Auto Services,Car Service Centers,customercare@nasproauto.com,01894988489,"Gulshan Centre Point, House 26 Road 90, Parking Level 3,, Gulshan Model Town, Dhaka, 1212",Dhaka,https://www.nasproauto.com/
Dhaka Facility Management Services,Cleaning Services,support@dfms.xyz,01731515392,"12/01, Pallabi, Mirpur, Dhaka-1216, Mirpur, Dhaka, 1216",Dhaka,https://dfms.xyz/
Star Electronics Bangladesh,Electronics Shops,info@starelectronicsbd.com,01403001115,"67/A, Bangabandhu National Stadium Market, Dhaka - 1000, Mirpur, Dhaka, 1000",Dhaka,https://www.starelectronicsbd.com/
BestTrip,Travel Agencies,support@besttrip.travel,09677443333,"InterContinental Health Club Building(2nd Floor), Dhaka, Ramna, Dhaka, 1000",Dhaka,https://www.besttrip.travel/
Tulip,AC Repair & Services,tulipacserviceuttara@gmail.com,01843422373,"Uttara (Sector 1–18), Airport, Uttara Purba, Dhaka, 1230",Dhaka,https://acserviceuttara.com/
CARE PEST,Pest Control Services,carepestbd@gmail.com,01742550005,"House#42 ROAD#02 BLOCK#A SECTION#06 MIRPUR, Mirpur, Dhaka, 1216",Dhaka,https://www.carepest.com.bd/
Concord Diagnostics & Molecular Lab Ltd,Diagnostic Centers,info@concorddiagnostics.com,09606213233,"4/1/A (7th Floor, Navana Newbury place, Sobhanbag Mirpur Rd, Dhaka 1207, Mohammadpur, Dhaka, 1207",Dhaka,https://concorddiagnostics.com/services/
SPEED WELL NET,Internet Providers,support@speedwellnet.com,01319340700,"23, 4 Pallabi Rd, Dhaka 1216, Pallabi, Dhaka, 1216",Dhaka,http://speedwellnet.com/
TalentHut,Coaching Centers,info@talenthutbd.com,01611237734,"03, House no #08, 4th Floor, Rd No: 10, Dhaka 1230, Uttara Purba, Dhaka, 1230",Dhaka,https://talenthutbd.com/
Jamil Iqbal Ltd.,Construction Companies,jamiliqballimited@yahoo.com,N/A,"H# 543, Road#08 Ave#06, Dhaka 1216, Mirpur, Dhaka, 1216",Dhaka,https://jamiliqbal.com/
Friends Tailors & Fabrics,Tailoring & Boutiques,friendstailors1993@gmail.com,01922775511,"Gp-Ka, 23 Progoti Shoroni, , KhilkhetTSO, Dhaka, 1229",Dhaka,N/A
CONCEPTIFY,Event Management,info@conceptifyltd.com,01777097772,"House#13 (5th Floor, Road#05 Sector#16/A, Dhaka 1230, Uttara Purba, Dhaka, 1230",Dhaka,https://www.conceptifyltd.com/
Presidency University,Universities,puadmission@pu.edu.bd,01766554433,"11/A Rd 92, Dhaka 1212, Gulshan Model Town, Dhaka, 1212",Dhaka,https://pu.edu.bd/
Pearl House Jewellers,Jewelry Stores,pearlhousejewellers12@gmail.com,01716129888,"Shop No-210, Leave -3, House building, Dhaka 1210, Posta TSO, Dhaka, 1211",Dhaka,N/A
Farjana Steel And Melamine Furniture,Furniture Shops,nazmulhaque.nibir@gmail.com,01912064090,"1361 রানিমহল - বড়ভাঙ্গা সড়ক, Dhaka 1361, Kamrangirchar, Dhaka, 1361",Dhaka,N/A
Tahfizul Quran Wassunnah Madrasa,Madrasas,N/A,01711338759,"79, 1G Dhaka - Demra Hwy, , Gandaria, Dhaka, 1204",Dhaka,N/A
Ideal School and College,Colleges,N/A,01711273586,"Motijhil, Motijheel, Dhaka, 1000",Dhaka,N/A
Edison Real Estate,Real Estate Agencies,hello@edisonrealestatebd.com,09610916760,"Rangs Babylonia, 246, Bir Uttam Mir Shawkat Sarak, Dhaka, Bangladesh, 1208, Dhaka Politechnic, Dhaka, 1208",Dhaka,https://edisonrealestatebd.com/
Adonis Mens Grooming Salon,Beauty & Salons,contact@adonis.com.bd,01919700800,"Holding - 99, Rupayan Golden Age, Road - 37 Gulshan Ave, Gulshan Model Town, Dhaka, 1212",Dhaka,https://maps.app.goo.gl/sc4wzBHHvLQhUwwJ7
Poshra,Plumbing Services,sourcing@proedge-asso.com,09638300700,"House#33 Rd Number 35/A, Dhaka 1212, Gulshan Model Town, Dhaka, 1212",Dhaka,N/A
Aamra Active | Best Gym in Gulshan Dhaka,Gyms & Fitness,info@aamraactive.com,01731003727,"House - 8 Rd No. 50, Dhaka, Bangladesh, Gulshan Model Town, Dhaka, 1212",Dhaka,https://aamraactive.com/
SEO Expert in Bangladesh - Tanveer Evan Rahat,IT & Computer Services,N/A,01980934436,"17th Floor, Rupayan Trade Center, Dhaka, New Market TSO, Dhaka, 1205",Dhaka,N/A
BD Bird Home,Pet Shops,bdbirdhome20@gmail.com,01670287422,"39 Rd No. 7, Dhaka 1216, Pallabi, Dhaka, 1216",Dhaka,N/A
Gulshan Olive Spa,Spa & Massage Centers,gulshanoilvespa@gmail.com,01754414483,"Nafi tower 53 Gulshan Avenue gulshan 1 Dhaka 1212, Gulshan Model Town, Dhaka, 1212",Dhaka,https://gulshanolivespa.com/
Grameen Solar,Electrical Services,N/A,01715491890,"15 Bijoy Nagar, Abdur Rouf Tower (6th Floor), Dhaka, Bangladesh, Dhaka GPO, Dhaka, 1000",Dhaka,N/A
NOOR AUTOS,Auto Repair,noorcarautomobile@gmail.com,01727349447,"QCFH+2WW, Dhaka 1212, Gulshan Model Town, Dhaka, 1212",Dhaka,N/A
Ovi Trading,Car Showrooms,ovitrading@hotmail.com,01799993280,"Plot#1, Road#49, Gulshan 2, Dhaka, Bangladesh, 1212, Gulshan Model Town, Dhaka, 1212",Dhaka,N/A
Dream Cafe,Restaurants & Cafes,dreamcafemirpur@gmail.com,01319240502,"1/A/B 2nd Colony, Mazar Road, Mirpur-1, Dhaka, Bangladesh, 1216, Mirpur, Dhaka, 1216",Dhaka,N/A
Galaxy Printing & Packaging,Printing Services,support@galaxyprintingbd.com,01861623214,"uttara dhaka 1230, Uttara Purba, Dhaka, 1230",Dhaka,"https://www.facebook.com/galaxyprintingbd"""
Paramount International School Dhaka,Schools,info@pisdedu.com,01897259211,"379, Ahmed Mansion, 7 Shaheed Tajuddin Ahmed Ave, Dhaka 1217, Chalkbazar, Dhaka, 1217",Dhaka,https://pisdedu.com/
LawCare BD,Law Firms,info@lawcarebd.com,01711225544,"khilkhat dhaka 1229, KhilkhetTSO, Dhaka, 1229",Dhaka,https://lawcarebd.com/
Native Car Solution,Car Service Centers,nativecarsolution@gmail.com,01703556955,"KA-30/2/A, Jagannathpur,soudi moshjid road, nodda, Baridhara,, Gulshan Model Town, Dhaka, 1212",Dhaka,N/A
Total cleaning service BD,Cleaning Services,N/A,01719238861,"KA 135/2, KURIL, KAZI BARI MASZID ROAD, ঢাকা 1229, KhilkhetTSO, Dhaka, 1229",Dhaka,http://www.totalcleaningbd.com/
Transcom Digital,Electronics Shops,estore@transcomdigital.com,01713061477,"House 22, Road 04, Block F, Banani, Dhaka, Bangladesh, 1213, Banani TSO, Dhaka, 1213",Dhaka,https://transcomdigital.com/
Global Travel & Tours,Travel Agencies,sales@globaltravelbd.com,01810140650,"3rd Floor, 78/E, Purana Paltan Line, Bijoynagar, , Paltan, Dhaka, 1000",Dhaka,https://globaltravelbd.com/
AC Servicing & Repair Dhaka,AC Repair & Services,amarshebabd@gmail.com,01777044241,"House #3 Road #16 Sector #11 Uttara, , Uttara Purba, Dhaka, 1230",Dhaka,N/A
Pest solution dhaka,Pest Control Services,aktersumk23456789@gmail.com,01986637603,"Badda,Gulshan,link road, , Gulshan Model Town, Dhaka, 1212",Dhaka,N/A
Health Aid plus Diagnostic Center,Diagnostic Centers,healthaidplusdiag.bd@gmail.com,01975644683,"Darul Ulum Madrasa Market, 35 Mirpur-13, Dhaka 1216, Mirpur, Dhaka, 1216",Dhaka,N/A
Apple Net,Internet Providers,info.applenet@gmail.com,01979973302,"House 5/3, Road 5, Block B, Nabodoy Housing Adabor, Dhaka, Bangladesh, 1207, Adabor, Dhaka, 1207",Dhaka,https://www.applenetbd.com/
limestone Academy,Coaching Centers,limestoneacademy@gmail.com,01912131773,"house-39 Rd No 16, Dhaka 1230, Uttara Purba, Dhaka, 1230",Dhaka,N/A
Bangladesh Association of Construction Industry,Construction Companies,N/A,N/A,"3rd Floor, UCBL Dhanmondi Branch Building, Nahar Green Summit, House # 43 Rd 16, Dhaka 1209, Dhanmondi, Dhaka, 1209",Dhaka,N/A
Shrestho Boutique,Tailoring & Boutiques,shresthoboutique.bd@gmail.com,01739278302,"Outlet No.246, 1st Floor, Confidence Shopping Mall, Shahjadpur, Gulshan-2, , Gulshan Model Town, Dhaka, 1212",Dhaka,https://shreshtho.com/category/women-fashion
Luxury Planning Event Management,Event Management,luxuryevent22@gmail.com,01915362222,"house #15 Rd - 17, Dhaka 1230, Uttara Purba, Dhaka, 1230",Dhaka,N/A
Canadian University of Bangladesh,Universities,admissions@cub.edu.bd,01707070280,"RANGS RL SQUARE, PRAGATI SHARANI, Bir Uttam Rafiqul Islam Ave, Dhaka 1212v, Gulshan Model Town, Dhaka, 1212",Dhaka,https://www.cub.edu.bd/
Kohinoor Diamond & Gold,Jewelry Stores,kohinoordiamonds.gold@gmail.com,01740220779,"2nd Floor, Shop- 213, House building, Dhaka 1230, Uttara Purba, Dhaka, 1230",Dhaka,N/A
HI-TECH Furniture,Furniture Shops,hi-techbd@live.com,01714141044,"Ambala Complex, 39 Road No. 2, Dhaka 1205, Dhanmondi, Dhaka, 1205",Dhaka,N/A
Islamic Online Madrasah - IOM,Madrasas,N/A,09638113322,"1012/1, Jamtola More, , Mirpur, Dhaka, 1216",Dhaka,N/A
Dhaka Residential Model College,Colleges,N/A,N/A,"Mohammadpur, Mohammadpur, Dhaka, 1207",Dhaka,N/A
Melody Housing Agency,Real Estate Agencies,info@melodyhousingagency.com,01955443322,"2nd Floor (2B), House: 14/A, Road: 02, Block: L, Banani, Dhaka-1213, Banani TSO, Dhaka, 1213",Dhaka,https://melodyhousingagency.com/
Woman's World,Beauty & Salons,womansworld90@yahoo.com,01999444422,"74 Jawad Tower(3rd Floor), Plot-74, Block-D, Level 3, Chiriakhana Road, (Opposite of Eidgah Field) Mirpu, Mirpur, Dhaka, 1216",Dhaka,https://womansworldbd.com/
Sheba.xyz,Plumbing Services,info@sheba.xyz,09678016516,"Plot: 2, Road: 11, Block: H, M&S Tower, Dhaka 1213, Banani TSO, Dhaka, 1213",Dhaka,https://www.sheba.xyz/plumber
Fitness Art Gym Shyamoli,Gyms & Fitness,fitnessartgymshyamoli@gmail.com,01749898854,"Shyamoli PC Culture Mobile Market Lift 4, Dhaka, Bangladesh, Mohammadpur, Dhaka, 1207",Dhaka,https://www.fitnessartgymshyamoli.com/
HRSOFT,IT & Computer Services,info@hrsoftbd.com,01709372481,"P-7, Nurjahan Road, Mohammadpur, Mohammadpur, Dhaka, 1207",Dhaka,https://hrsoftbd.com/
Shokher Tola 80Tk,Pet Shops,shokhertula80tkmail@gmail.com,01335521022,"12, Sultan's Dine and Meena Bazar Building, Noor Islam, 305 (3rd Floor,Lift 2), House No, 05 Sattar Molla Road, Dhaka 1216, Pallabi, Dhaka, 1216",Dhaka,https://shokhertola80taka.com/all/product
Gulshan Spa Massage Center,Spa & Massage Centers,info@spamassagecentergulshan.com,01912241232,"49 Gulshan Ave, Dhaka 1212, Bangladesh., Gulshan Model Town, Dhaka, 1212",Dhaka,https://www.spamassagecentergulshan.com/
Emergency Electrician Service,Electrical Services,troyroymridul@gmail.com,N/A,"HOUSE 51, ROAD 10, SECTOR 10, Uttara Paschim, Dhaka, 1230",Dhaka,N/A
Anan Auto Solution,Auto Repair,rayhan01871668065@gmail.com,01871668065,"South point shed, 17 Road Baridhara J Block, Dhaka 1212, Gulshan Model Town, Dhaka, 1212",Dhaka,N/A
Automo JAPAN,Car Showrooms,automojapanbd@gmail.com,01836151239,"5/13, Lalmatia, Block#D, Dhaka, Bangladesh, 1207, Mohammadpur, Dhaka, 1207",Dhaka,N/A
Posh Lounge Rooftop,Restaurants & Cafes,poshloungebd@gmail.com,01712808770,"Safura Tower (Beside Pallabi Metro Station) House 45, Level-9, Road-7, Mirpur-12, Dhaka 1216, Mirpur, Dhaka, 1216",Dhaka,https://poshloungerooftop.com/#home
Rainbow Printing Press,Printing Services,info@rainbowprintingbd.com,01715998878,"uttara dhaka 1230, Uttara Purba, Dhaka, 1230",Dhaka,"""https://www.facebook.com/rainbowprintingbd"""
Mac Master English Medium School,Schools,info@macmasterenglishmediumschool.com,01682820723,"45 Road No. 12, Dhaka 1207, Adabor, Dhaka, 1206",Dhaka,N/A
Justitia BD,Law Firms,info@justitiabd.com,01995665544,"newmarket dhaka 1205, New Market TSO, Dhaka, 1205",Dhaka,https://justitiabd.com/
Car Fixers Bd,Car Service Centers,carfixersbd@gmail.com,01717889883,"Plot-308, Road-04, Block -A, Shagufta Housing, Pallabi, Mirpur-12, 6.,, Mirpur, Dhaka, 1216",Dhaka,https://carfixersbd.com/
South Enterprise,Cleaning Services,info@southenterprisebd.com,01739277668,"253/254, Rahim Metal Mosque Market I/A Tejgaon Area, Dhaka-1208, Bangladesh., Dhaka Politechnic, Dhaka, 1208",Dhaka,https://www.southenterprisebd.com/contact-us
